,S_min,b_prime,runtime,BeB_n_nodes
att48,10,3,1.7154613399980008,6
gr48,11,3,3.1217282280049403,9
hk48,8,2,1.4381318669984466,8
eil51,2,2,0.9532050050038379,3
berlin52,2,2,0.4348955780005781,2
brazil58,11,6,985.4133598999979,131
st70,12,6,81.89214252700185,8
eil76,2,2,1.0483144280005945,3
pr76,-1,6,3600,23977
gr96,20,5,299.2442005900011,74
rat99,7,4,61.58688123199681,65
kroA100,-1,3,3600,10
kroB100,-1,6,3600,9397
kroC100,19,5,2652.8620619939975,6525
kroD100,-1,5,3600,458
kroE100,23,4,325.3713470350049,74
rd100,-1,6,3600,781
